,SalePrice,Overall Qual,Gr Liv Area,Total Bsmt SF,Garage Area,Year Built,Year Remod/Add,Full Bath,Mas Vnr Area,Fireplaces,Lot Area,Lot Frontage,Wood Deck SF,Open Porch SF,Neighborhood,Kitchen Qual,Exter Qual,Bsmt Qual,Garage Finish,Foundation,House Style,Sale Condition
0,215000,6,1656,1080.0,528.0,1960,1960,1,112.0,2,31770,141.0,210,62,NAmes,TA,TA,TA,Fin,CBlock,1Story,Normal
1,105000,5,896,882.0,730.0,1961,1961,1,0.0,0,11622,80.0,140,0,NAmes,TA,TA,TA,Unf,CBlock,1Story,Normal
2,172000,6,1329,1329.0,312.0,1958,1958,1,108.0,0,14267,81.0,393,36,NAmes,Gd,TA,TA,Unf,CBlock,1Story,Normal
3,244000,7,2110,2110.0,522.0,1968,1968,2,0.0,2,11160,93.0,0,0,NAmes,Ex,Gd,TA,Fin,CBlock,1Story,Normal
4,189900,5,1629,928.0,482.0,1997,1998,2,0.0,1,13830,74.0,212,34,Gilbert,TA,TA,Gd,Fin,PConc,2Story,Normal
5,195500,6,1604,926.0,470.0,1998,1998,2,20.0,1,9978,78.0,360,36,Gilbert,Gd,TA,TA,Fin,PConc,2Story,Normal
6,213500,8,1338,1338.0,582.0,2001,2001,2,0.0,0,4920,41.0,0,0,StoneBr,Gd,Gd,Gd,Fin,PConc,1Story,Normal
7,191500,8,1280,1280.0,506.0,1992,1992,2,0.0,0,5005,43.0,0,82,StoneBr,Gd,Gd,Gd,RFn,PConc,1Story,Normal
8,236500,8,1616,1595.0,608.0,1995,1996,2,0.0,1,5389,39.0,237,152,StoneBr,Gd,Gd,Gd,RFn,PConc,1Story,Normal
9,189000,7,1804,994.0,442.0,1999,1999,2,0.0,1,7500,60.0,140,60,Gilbert,Gd,TA,TA,Fin,PConc,2Story,Normal
10,175900,6,1655,763.0,440.0,1993,1994,2,0.0,1,10000,75.0,157,84,Gilbert,TA,TA,Gd,Fin,PConc,2Story,Normal
11,185000,6,1187,1168.0,420.0,1992,2007,2,0.0,0,7980,,483,21,Gilbert,TA,TA,Gd,Fin,PConc,1Story,Normal
12,180400,6,1465,789.0,393.0,1998,1998,2,0.0,1,8402,63.0,0,75,Gilbert,TA,TA,Gd,Fin,PConc,2Story,Normal
