,Unnamed: 0,SalePrice,Overall Qual,Gr Liv Area,Total Bsmt SF,Garage Area,Year Built,Year Remod/Add,Full Bath,Mas Vnr Area,Fireplaces,Lot Area,Lot Frontage,Wood Deck SF,Open Porch SF,Kitchen Qual,Exter Qual,Bsmt Qual,Garage Finish,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker
0,0,215000,6,1656,1080.0,528.0,1960,1960,1,112.0,2,31770,141.0,210,62,3,2,3.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,105000,5,896,882.0,730.0,1961,1961,1,0.0,0,11622,80.0,140,0,3,2,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,172000,6,1329,1329.0,312.0,1958,1958,1,108.0,0,14267,81.0,393,36,4,2,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,3,244000,7,2110,2110.0,522.0,1968,1968,2,0.0,2,11160,93.0,0,0,5,3,3.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,4,189900,5,1629,928.0,482.0,1997,1998,2,0.0,1,13830,74.0,212,34,3,2,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,195500,6,1604,926.0,470.0,1998,1998,2,20.0,1,9978,78.0,360,36,4,2,3.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,213500,8,1338,1338.0,582.0,2001,2001,2,0.0,0,4920,41.0,0,0,4,3,4.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,7,191500,8,1280,1280.0,506.0,1992,1992,2,0.0,0,5005,43.0,0,82,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,8,236500,8,1616,1595.0,608.0,1995,1996,2,0.0,1,5389,39.0,237,152,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,9,189000,7,1804,994.0,442.0,1999,1999,2,0.0,1,7500,60.0,140,60,4,2,3.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,175900,6,1655,763.0,440.0,1993,1994,2,0.0,1,10000,75.0,157,84,3,2,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,185000,6,1187,1168.0,420.0,1992,2007,2,0.0,0,7980,68.0,483,21,3,2,4.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,180400,6,1465,789.0,393.0,1998,1998,2,0.0,1,8402,63.0,0,75,3,2,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,171500,7,1341,1300.0,506.0,1990,1990,1,0.0,1,10176,85.0,192,0,4,2,4.0,1.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,212000,8,1502,1488.0,528.0,1985,1985,1,0.0,0,6820,68.0,0,54,4,3,4.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,15,538000,8,3279,1650.0,841.0,2003,2003,3,603.0,1,53504,47.0,503,36,5,4,4.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,16,164000,8,1752,559.0,492.0,1988,2005,2,0.0,0,12134,152.0,325,12,3,3,4.0,2.0,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,394432,9,1856,1856.0,834.0,2010,2010,1,350.0,1,11394,88.0,113,0,5,3,5.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,18,141000,4,864,864.0,400.0,1951,1951,1,0.0,0,19138,140.0,0,0,3,2,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,210000,6,2073,1542.0,500.0,1978,1988,2,119.0,2,13175,85.0,349,0,3,2,4.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,20,190000,6,1844,1844.0,546.0,1977,1977,2,480.0,1,11751,105.0,0,122,3,2,4.0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,21,170000,7,1173,1053.0,528.0,1974,1974,2,81.0,2,10625,85.0,0,120,4,2,4.0,2.0,False,False,False,False,False,True,False,True,False,False,False,False,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,22,216000,7,1674,814.0,663.0,2000,2000,2,0.0,0,7500,68.0,0,96,4,3,4.0,2.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,23,149000,6,1004,1004.0,480.0,1970,1970,1,180.0,1,11241,68.0,0,0,3,2,3.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,24,149900,5,1078,1078.0,500.0,1971,2008,1,0.0,1,12537,68.0,0,0,3,2,3.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,25,142000,5,1056,1056.0,304.0,1968,1968,1,0.0,1,8450,65.0,0,85,3,2,3.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,26,126000,4,882,882.0,525.0,1970,1970,1,0.0,0,8400,70.0,240,0,3,2,3.0,3.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,28,184000,7,1337,1405.0,511.0,1999,1999,2,0.0,1,5858,26.0,203,68,4,3,4.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,29,96000,6,987,483.0,264.0,1971,1971,1,504.0,0,1680,21.0,275,0,3,2,3.0,1.0,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,105500,5,1092,525.0,320.0,1971,1971,1,492.0,0,1680,21.0,0,0,3,2,3.0,1.0,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,88000,6,1092,525.0,264.0,1971,1971,1,381.0,0,1680,21.0,0,0,3,2,3.0,1.0,False,False,False,False,True,False,False,True,False,False,False,False,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,127500,6,1069,1069.0,440.0,1977,1977,2,0.0,1,4043,53.0,0,55,3,2,4.0,2.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,33,149900,6,1456,855.0,440.0,1975,1975,2,0.0,1,2280,24.0,173,0,4,2,3.0,1.0,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,34,120000,7,836,836.0,308.0,1975,1975,1,0.0,0,2280,24.0,0,30,3,2,4.0,1.0,False,True,False,False,False,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,35,146000,6,1456,855.0,440.0,1978,1978,2,0.0,1,2280,24.0,26,0,3,2,4.0,1.0,False,False,False,False,True,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,36,376162,9,2334,1590.0,751.0,2009,2010,2,162.0,1,12858,102.0,144,133,5,4,5.0,3.0,False,False,False,False,True,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,37,306000,8,1704,1704.0,772.0,2007,2008,2,200.0,1,11478,98.0,0,50,4,3,5.0,2.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,38,395192,9,1940,1930.0,606.0,2009,2010,2,450.0,1,10159,83.0,168,95,5,4,5.0,3.0,False,True,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
